raza,vida_min,vida_max,vida_promedio,peso_macho_max,peso_hembra_max,peso_promedio,categoria_peso,diferencia_sexual_peso,hipoalergenico,fecha_extraccion
Pumi,12,15,13.5,16,16,16.0,Pequeño,0,False,2026-03-26T12:16:51.083852
Pyrenean Mastiff,10,12,11.0,100,90,95.0,Gigante,10,False,2026-03-26T12:16:51.083859
Pyrenean Shepherd,12,15,13.5,15,15,15.0,Pequeño,0,False,2026-03-26T12:16:51.083866
Rafeiro do Alentejo,12,14,13.0,60,60,60.0,Gigante,0,False,2026-03-26T12:16:51.083873
Rat Terrier,14,16,15.0,6,6,6.0,Muy pequeño,0,False,2026-03-26T12:16:51.083879
Redbone Coonhound,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083884
Rhodesian Ridgeback,12,14,13.0,41,41,41.0,Grande,0,False,2026-03-26T12:16:51.083887
Romanian Carpathian Shepherd,12,14,13.0,65,60,62.5,Gigante,5,False,2026-03-26T12:16:51.083891
Romanian Mioritic Shepherd Dog,12,14,13.0,50,50,50.0,Gigante,0,False,2026-03-26T12:16:51.083898
Rottweiler,8,10,9.0,60,55,57.5,Gigante,5,False,2026-03-26T12:16:51.083902
Russell Terrier,12,14,13.0,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.083905
Russian Toy,12,14,13.0,3,3,3.0,Muy pequeño,0,False,2026-03-26T12:16:51.083909
Russian Tsvetnaya Bolonka,14,16,15.0,5,5,5.0,Muy pequeño,0,False,2026-03-26T12:16:51.083912
Saint Bernard,8,10,9.0,110,110,110.0,Gigante,0,False,2026-03-26T12:16:51.083916
Saluki,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083919
Samoyed,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083923
Schapendoes,12,15,13.5,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083926
Schipperke,15,17,16.0,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.083929
Scottish Deerhound,8,10,9.0,50,50,50.0,Gigante,0,False,2026-03-26T12:16:51.083935
Scottish Terrier,12,15,13.5,10,9,9.5,Muy pequeño,1,False,2026-03-26T12:16:51.083938
Sealyham Terrier,12,14,13.0,10,10,10.0,Pequeño,0,False,2026-03-26T12:16:51.083942
Segugio Italiano,12,15,13.5,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083945
Shetland Sheepdog,12,15,13.5,14,14,14.0,Pequeño,0,False,2026-03-26T12:16:51.083950
Shiba Inu,12,15,13.5,10,10,10.0,Pequeño,0,False,2026-03-26T12:16:51.083956
Shih Tzu,14,16,15.0,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.083962
Shikoku,12,15,13.5,22,22,22.0,Mediano,0,False,2026-03-26T12:16:51.083968
Siberian Husky,12,14,13.0,27,23,25.0,Mediano,4,False,2026-03-26T12:16:51.083974
Silky Terrier,12,15,13.5,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.083980
Skye Terrier,12,15,13.5,8,8,8.0,Muy pequeño,0,False,2026-03-26T12:16:51.083991
Sloughi,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083998
Slovakian Wirehaired Pointer,12,15,13.5,35,35,35.0,Grande,0,False,2026-03-26T12:16:51.084004
Slovensky Cuvac,12,14,13.0,40,40,40.0,Grande,0,False,2026-03-26T12:16:51.084011
Slovensky Kopov,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.084017
Small Munsterlander,12,15,13.5,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.084027
Smooth Fox Terrier,12,15,13.5,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.084034
Soft Coated Wheaten Terrier,12,15,13.5,25,25,25.0,Mediano,0,True,2026-03-26T12:16:51.084041
Spanish Mastiff,8,10,9.0,110,100,105.0,Gigante,10,False,2026-03-26T12:16:51.084047
Spanish Water Dog,12,14,13.0,22,22,22.0,Mediano,0,False,2026-03-26T12:16:51.084054
Spinone Italiano,12,14,13.0,35,35,35.0,Grande,0,False,2026-03-26T12:16:51.084065
Stabyhoun,12,15,13.5,25,25,25.0,Mediano,0,False,2026-03-26T12:16:51.084072
Staffordshire Bull Terrier,12,14,13.0,17,17,17.0,Pequeño,0,False,2026-03-26T12:16:51.084079
Standard Schnauzer,12,15,13.5,22,22,22.0,Mediano,0,True,2026-03-26T12:16:51.084086
Sussex Spaniel,12,15,13.5,27,27,27.0,Mediano,0,False,2026-03-26T12:16:51.084092
Swedish Lapphund,12,14,13.0,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.084099
Swedish Vallhund,12,15,13.5,16,16,16.0,Pequeño,0,False,2026-03-26T12:16:51.084105
Taiwan Dog,12,15,13.5,15,15,15.0,Pequeño,0,False,2026-03-26T12:16:51.084112
Teddy Roosevelt Terrier,12,15,13.5,11,11,11.0,Pequeño,0,False,2026-03-26T12:16:51.084118
Thai Ridgeback,12,14,13.0,25,25,25.0,Mediano,0,False,2026-03-26T12:16:51.084124
Tibetan Mastiff,10,12,11.0,90,90,90.0,Gigante,0,False,2026-03-26T12:16:51.084135
Tibetan Spaniel,14,16,15.0,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.084142
Tibetan Terrier,14,16,15.0,8,8,8.0,Muy pequeño,0,False,2026-03-26T12:16:51.084148
Tornjak,12,14,13.0,70,70,70.0,Gigante,0,False,2026-03-26T12:16:51.084155
Tosa,8,12,10.0,80,80,80.0,Gigante,0,False,2026-03-26T12:16:51.084164
Toy Fox Terrier,14,16,15.0,3,3,3.0,Muy pequeño,0,False,2026-03-26T12:16:51.084174
Transylvanian Hound,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.084181
